Call Time,Caller ID,Destination,Status,Ringing,Talking,Cost,Reason,Sentiment,Summary,Transcription
2025-08-01T12:08:27,DROGUERIA STO207 (20720),VMail (20820),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO207 (20720),,,
2025-08-01T12:08:06,DROGUERIA STO207 (20720),DROGUERIA STO208 (20820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (20820)",,,
2025-08-01T12:08:14,ATENCION CLIENTE STO113 (11310),9914116,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:08:05,ATENCION CLIENTE STO113 (11310),991416,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:07:59,ATENCION CLIENTE STO113 (11310),991416,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:05:47,PORTER�A BOMBON� (90010),CCTV BODEGA BOMBON� (90080),answered,00:00:05,00:02:00,0.00,Terminated by PORTER�A BOMBON� (90010),,,
2025-08-01T12:07:42,ATENCION CLIENTE STO113 (11310),9914116,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:07:07,DARLA PAOLA ESCORCIA MIRANDA (98709),VMail (06410),answered,00:00:00,00:00:03,0.00,Terminated by DARLA PAOLA ESCORCIA MIRANDA (98709),,,
2025-08-01T12:06:46,DARLA PAOLA ESCORCIA MIRANDA (98709),ATENCION CLIENTE STO064 (06410),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (06410)",,,
2025-08-01T12:07:10,ATENCION CLIENTE STO113 (11310),9914116,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:06:54,ATENCION CLIENTE STO113 (11310),9914115,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:06:45,ATENCION CLIENTE STO113 (11310),9914116,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:06:37,ATENCION CLIENTE STO113 (11310),9914116,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:04:57,ATENCION CLIENTE STO329 (32910),ATENCION CLIENTE STO306 (30610),answered,00:00:07,00:01:22,0.00,Terminated by ATENCION CLIENTE STO306 (30610),,,
2025-08-01T12:05:51,DROGUERIA SDO099 (09920),51520,answered,00:00:22,00:00:04,0.06,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T12:06:13,ATENCION CLIENTE STO113 (11310),9914116,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:05:48,ATENCION CLIENTE STO080 (08010),DROGUERIA STO080 (08020),answered,00:00:04,00:00:21,0.00,Terminated by DROGUERIA STO080 (08020),,,
2025-08-01T12:05:47,SANDY OSORIO OSIA (90062),DROGUERIA STO076 (07620),unanswered,00:00:11,00:00:00,0.00,Terminated by SANDY OSORIO OSIA (90062),,,
2025-08-01T12:01:20,DROGUERIA SDO526 (52620),DROGUERIA STO060 (06020),answered,00:00:12,00:04:14,0.00,Terminated by DROGUERIA SDO526 (52620),,,
2025-08-01T12:05:20,DROGUERIA SDO099 (09920),52820,answered,00:00:21,00:00:04,0.06,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T12:05:31,SANDY OSORIO OSIA (90062),VMail (07610),answered,00:00:00,00:00:12,0.00,Terminated by SANDY OSORIO OSIA (90062),,,
2025-08-01T12:05:10,SANDY OSORIO OSIA (90062),ATENCION CLIENTE STO076 (07610),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (07610)",,,
