Call Time,Caller ID,Destination,Status,Ringing,Talking,Cost,Reason,Sentiment,Summary,Transcription
2025-08-01T12:08:57,ATENCION CLIENTE SAO421 (42110),99070,answered,00:00:03,00:00:10,0.17,Terminated by 99070,,,
2025-08-01T12:08:43,DROGUERIA STO457 (45720),VMail (47220),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO457 (45720),,,
2025-08-01T12:08:22,DROGUERIA STO457 (45720),DROGUERIA SDO472 (47220),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (47220)",,,
2025-08-01T12:07:54,DROGUERIA SAO626 (62620),99070,answered,00:00:03,00:00:11,0.18,Terminated by DROGUERIA SAO626 (62620),,,
2025-08-01T12:07:24,ELECTRO SAO393 (39330),99070,answered,00:00:05,00:00:10,0.17,Terminated by ELECTRO SAO393 (39330),,,
2025-08-01T12:06:10,DROGUERIA STO453 (45320),DROGUERIA SAO416 (41620),answered,00:00:07,00:00:53,0.00,Terminated by DROGUERIA SAO416 (41620),,,
2025-08-01T12:06:22,ATENCION CLIENTE STO601 (60110),99070,answered,00:00:03,00:00:10,0.16,Terminated by 99070,,,
2025-08-01T12:06:27,DROGUERIA STO544 (54420),15,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:04:56,ATENCION CLIENTE STO329 (32910),30610,answered,00:00:07,00:01:23,1.38,Terminated by 30610,,,
2025-08-01T12:06:20,DROGUERIA STO544 (54420),514200,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:06:12,DROGUERIA SDO099 (09920),VMail (51520),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T12:05:51,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (51520)",,,
2025-08-01T12:05:58,DROGUERIA STO544 (54420),VMail (51420),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO544 (54420),,,
2025-08-01T12:05:37,DROGUERIA STO544 (54420),DROGUERIA SDO514 (51420),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (51420)",,,
2025-08-01T12:01:20,DROGUERIA SDO526 (52620),06020,answered,00:00:13,00:04:14,4.24,Terminated by DROGUERIA SDO526 (52620),,,
2025-08-01T12:05:41,DROGUERIA SDO099 (09920),VMail (52820),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T12:05:20,DROGUERIA SDO099 (09920),DROGUERIA SDO528 (52820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (52820)",,,
2025-08-01T12:05:24,DROGUERIA STO457 (45720),VMail (47220),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO457 (45720),,,
2025-08-01T12:05:03,DROGUERIA STO457 (45720),DROGUERIA SDO472 (47220),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (47220)",,,
2025-08-01T12:05:08,ATENCION CLIENTE STO382 (38210),99070,answered,00:00:03,00:00:10,0.17,Terminated by ATENCION CLIENTE STO382 (38210),,,
2025-08-01T12:05:11,DROGUERIA SDO099 (09920),VMail (52820),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T12:04:50,DROGUERIA SDO099 (09920),DROGUERIA SDO528 (52820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (52820)",,,
2025-08-01T11:59:56,ATENCION CLIENTE STO594 (59410),96015,answered,00:00:06,00:05:08,5.13,Terminated by ATENCION CLIENTE STO594 (59410),,,
2025-08-01T12:04:46,DROGUERIA STO641 (64120),99070,answered,00:00:02,00:00:10,0.16,Terminated by DROGUERIA STO641 (64120),,,
2025-08-01T12:04:53,DROGUERIA STO457 (45720),VMail (40720),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO457 (45720),,,
2025-08-01T12:04:32,DROGUERIA STO457 (45720),DROGUERIA STO407 (40720),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (40720)",,,
2025-08-01T12:04:52,DROGUERIA STO427 (42720),VMail (40220),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO427 (42720),,,
2025-08-01T12:04:31,DROGUERIA STO427 (42720),DROGUERIA STO402 (40220),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (40220)",,,
2025-08-01T12:04:49,DROGUERIA STO544 (54420),5,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:04:42,DROGUERIA SDO099 (09920),VMail (51520),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T12:04:21,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (51520)",,,
2025-08-01T12:04:31,DROGUERIA STO641 (64120),99070,answered,00:00:07,00:00:03,0.04,Terminated by DROGUERIA STO641 (64120),,,
2025-08-01T12:04:21,ATENCION CLIENTE STO379 (37910),99070,answered,00:00:02,00:00:09,0.16,Terminated by ATENCION CLIENTE STO379 (37910),,,
2025-08-01T12:04:24,DROGUERIA STO457 (45720),VMail (40720),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO457 (45720),,,
2025-08-01T12:04:03,DROGUERIA STO457 (45720),DROGUERIA STO407 (40720),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (40720)",,,
2025-08-01T12:04:05,DROGUERIA STO427 (42720),DROGUERIA STO404 (40420),unanswered,00:00:21,00:00:00,0.00,Terminated by DROGUERIA STO427 (42720),,,
